,INS_NM,JAB_NM,JENIS_FORMASI_NM,JUM_PENDAFTAR,JUM_PERJAB,LINK_WEB_INS_DAFTAR,LOKASI_NM,PENDIDIKAN_NM,ROWNUM
326,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,PENGELOLA BARANG MILIK NEGARA,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,0,1,,BAGIAN SDM DAN UMUM KOMISI APARATUR SIPIL NEGARA,D-III ADMINISTRASI NEGARA/D-III ADMINISTRASI PUBLIK/D-III AKUNTANSI/D-III ILMU ADMINISTRASI NEGARA/D-III ILMU ADMINISTRASI PUBLIK/D-III ILMU MANAJEMEN/D-III MANAJEMEN,327
327,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,ANALIS HUKUM,UMUM,0,2,,KELOMPOK KERJA BIDANG MEDIASI DAN PERLINDUNGAN KOMISI APARATUR SIPIL NEGARA,S-1 HUKUM/S-1 ILMU HUKUM,328
328,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,ANALIS KEBIJAKAN AHLI PERTAMA,UMUM,0,1,,ASISTEN DEPUTI ASESMEN DAN KOORDINASI PELAKSANAAN KEBIJAKAN KELEMBAGAAN DAN TATA LAKSANA POLITIK HUKUM DAN KEAMANAN DAN PEMERINTAH DAERAH DEPUTI BIDANG KELEMBAGAAN DAN TATA LAKSANA,S-1 HUKUM/S-1 ILMU HUKUM,329
329,Kementerian Pendidikan dan Kebudayaan,ANALIS SISTEM INFORMASI DAN JARINGAN,UMUM,0,1,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Lembaga Penjaminan Mutu Pendidikan Nusa Tenggara Barat,D-IV SISTEM KOMPUTER/S-1 SISTEM KOMPUTER/S-1/D-IV ILMU KOMPUTER/S-1/D-IV TEKNIK ELEKTRO/S-1/D-IV TEKNIK INFORMATIKA/S-1/D-IV TEKNIK KOMPUTER,330
330,Lembaga Penerbangan dan Antariksa Nasional,PEREKAYASA AHLI PERTAMA,UMUM,0,1,http://cpns.lapan.go.id/,Pusat Teknologi Satelit,S-1 TEKNIK ELEKTRO/TEKNIK ELEKTRONIKA/S-1 TEKNIK FISIKA,331
331,Lembaga Penerbangan dan Antariksa Nasional,PEREKAYASA AHLI PERTAMA,UMUM,0,2,http://cpns.lapan.go.id/,Pusat Teknologi Satelit,S-1 PENERBANGAN/S-1 TEKNIK AERONAUTIKA DAN ASTRONOTIKA/S-1 TEKNIK DIRGANTARA,332
332,Lembaga Penerbangan dan Antariksa Nasional,PEREKAYASA AHLI PERTAMA,UMUM,0,1,http://cpns.lapan.go.id/,Pusat Teknologi dan Data Penginderaan Jauh,S-1 ILMU KOMPUTER/S-1 TEKNIK INFORMATIKA,333
333,Lembaga Penerbangan dan Antariksa Nasional,PEREKAYASA AHLI PERTAMA,UMUM,0,3,http://cpns.lapan.go.id/,"Balai Kendali Satelit, Pengamatan Antariksa dan Atmosfer dan Penginderaan Jauh Biak",S-1 KOMPUTER/S-1 TEKNIK ELEKTRONIKA/S-1 TEKNIK INFORMATIKA/S-1 TELEKOMUNIKASI,334
334,Lembaga Penerbangan dan Antariksa Nasional,PERENCANA AHLI PERTAMA,UMUM,0,1,http://cpns.lapan.go.id/,Pusat Teknologi Satelit,S-1 ADMINISTRASI BISNIS/S-1 EKONOMI BISNIS/S-1 EKONOMI BISNIS INTERNASIONAL/S-1 MANAJEMEN,335
335,Ombudsman Republik Indonesia,PENGELOLA PENGKAJIAN DAN PENELAAHAN HUKUM,UMUM,0,1,http://www.ombudsman.go.id/pengumuman?tag=CPNS+2018,SUB BAGIAN HUKUM,D-III ILMU ADMINISTRASI/D-III MANAJEMEN,336
336,Ombudsman Republik Indonesia,ANALIS PERATURAN PERUNDANG-UNDANGAN DAN RANCANGAN PERATURAN PERUNDANG-UNDANGAN,UMUM,0,1,http://www.ombudsman.go.id/pengumuman?tag=CPNS+2018,SUB BAGIAN PERATURAN PERUNDANG UNDANGAN,S-1 HUKUM/S-1 ILMU PEMERINTAHAN,337
337,Ombudsman Republik Indonesia,ANALIS KEUANGAN,UMUM,0,2,http://www.ombudsman.go.id/pengumuman?tag=CPNS+2018,SUB BAGIAN PELAKSANAAN ANGGARAN,S-1 ILMU ADMINISTRASI/S-1 MANAJEMEN/S-1 PSIKOLOGI,338
338,Lembaga Perlindungan Saksi dan Korban,ANALIS HUKUM,LULUSAN TERBAIK,0,1,https://www.lpsk.go.id,Sekretariat Jenderal Lembaga Perlindungan Saksi dan Korban,S-1 HUKUM,339
339,Lembaga Perlindungan Saksi dan Korban,PENGAWAS KEKERASAN TERHADAP PEREMPUAN DAN ANAK,UMUM,0,5,https://www.lpsk.go.id,Sub Bagian Penerimaan dan Penelahaan Permohonan,S-1 KESEJAHTERAAN SOSIAL/S-1 PSIKOLOGI/S-1 SOSIAL POLITIK,340
340,Lembaga Perlindungan Saksi dan Korban,PENGAWAS KEKERASAN TERHADAP PEREMPUAN DAN ANAK,LULUSAN TERBAIK,0,1,https://www.lpsk.go.id,Sub Bagian Penerimaan dan Penelahaan Permohonan,S-1 KESEJAHTERAAN SOSIAL/S-1 PSIKOLOGI/S-1 SOSIAL POLITIK,341
341,Lembaga Perlindungan Saksi dan Korban,ANALIS INTELIJEN,UMUM,0,7,https://www.lpsk.go.id,Sekretariat Jenderal Lembaga Perlindungan Saksi dan Korban,D-IV MANAJEMEN INFORMATIKA/S-1 ADMINISTRASI/S-1 EKONOMI/S-1 HUKUM/S-1 KOMPUTER TEKNIK INFORMATIKA/S-1 KRIMINOLOGI/S-1 MANAJEMEN KEBIJAKAN PUBLIK,342
342,Lembaga Perlindungan Saksi dan Korban,ANALIS INTELIJEN,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,0,1,https://www.lpsk.go.id,Sekretariat Jenderal Lembaga Perlindungan Saksi dan Korban,D-IV MANAJEMEN INFORMATIKA/S-1 ADMINISTRASI/S-1 EKONOMI/S-1 HUKUM/S-1 KOMPUTER TEKNIK INFORMATIKA/S-1 KRIMINOLOGI/S-1 MANAJEMEN KEBIJAKAN PUBLIK,343
343,Lembaga Perlindungan Saksi dan Korban,PENGELOLA PEMBINAAN BANTUAN,UMUM,0,4,https://www.lpsk.go.id,Sub Bagian Pelayanan Perlindungan,S-1 ADMINISTRASI/S-1 EKONOMI/S-1 HUKUM,344
344,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,PENGEVALUASI PROGRAM DAN KINERJA,UMUM,0,1,,BAGIAN PERENCANAAN DAN KERJA SAMA KOMISI APARATUR SIPIL NEGARA,S-1 ADMINISTRASI NEGARA/S-1 ADMINISTRASI PEMERINTAHAN UMUM/S-1 ADMINISTRASI PUBLIK/S-1 ILMU ADMINISTRASI NEGARA/S-1 ILMU ADMINISTRASI PUBLIK/S-1 ILMU PEMERINTAHAN/S-1 MANAJEMEN DAN KEBIJAKAN PUBLIK,345
345,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,PENGEVALUASI PROGRAM DAN KINERJA,LULUSAN TERBAIK,0,1,,BAGIAN PERENCANAAN DAN KERJA SAMA KOMISI APARATUR SIPIL NEGARA,S-1 ADMINISTARI NEGERA/S-1 ADMINISTRASI PEMERINTAHAN UMUM/S-1 ADMINISTRASI PUBLIK/S-1 ILMU ADMINISTRASI NEGARA/S-1 ILMU ADMINISTRASI PUBLIK/S-1 ILMU PEMERINTAHAN/S-1 MANAJEMEN DAN KEBIJAKAN PUBLIK,346
346,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,ANALIS KEBIJAKAN AHLI PERTAMA,UMUM,0,2,,ASISTEN DEPUTI KESEJAHTERAAN SUMBER DAYA MANUSIA APARATUR DEPUTI BIDANG SUMBER DAYA MANUSIA APARATUR,S-2 EKONOMI/S-2 ILMU EKONOMI/S-2 MANAJEMEN BISNIS/S-2 PERENCANAAN DAN KEBIJAKAN PUBLIK/S-2 STUDI PEMBANGUNAN,347
347,Kementerian Pendidikan dan Kebudayaan,ANALIS SISTEM INFORMASI DAN JARINGAN,UMUM,0,1,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Lembaga Penjaminan Mutu Pendidikan Papua Barat,D-IV SISTEM KOMPUTER/S-1 SISTEM KOMPUTER/S-1/D-IV ILMU KOMPUTER/S-1/D-IV TEKNIK ELEKTRO/S-1/D-IV TEKNIK INFORMATIKA/S-1/D-IV TEKNIK KOMPUTER,348
348,Kementerian Pendidikan dan Kebudayaan,ANALIS SISTEM INFORMASI DAN JARINGAN,UMUM,0,1,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Lembaga Penjaminan Mutu Pendidikan Sulawesi Utara,D-IV SISTEM KOMPUTER/S-1 SISTEM KOMPUTER/S-1/D-IV ILMU KOMPUTER/S-1/D-IV TEKNIK ELEKTRO/S-1/D-IV TEKNIK INFORMATIKA/S-1/D-IV TEKNIK KOMPUTER,349
349,Lembaga Penerbangan dan Antariksa Nasional,PERENCANA AHLI PERTAMA,UMUM,0,1,http://cpns.lapan.go.id/,Balai Pengamatan Antariksa dan Atmosfer Pasuruan,S-1 MANAJEMEN,350
350,Lembaga Penerbangan dan Antariksa Nasional,PRANATA HUBUNGAN MASYARAKAT AHLI PERTAMA,UMUM,0,1,http://cpns.lapan.go.id/,Balai Pengamatan Antariksa dan Atmosfer Pontianak,S-1 ILMU ADMINISTRASI NEGARA/S-1 ILMU KOMUNIKASI,351
351,Lembaga Penerbangan dan Antariksa Nasional,PUSTAKAWAN AHLI PERTAMA,UMUM,0,1,http://cpns.lapan.go.id/,Pusat Sains Antariksa,S-1 ILMU INFORMASI DAN PERPUSTAKAAN/S-1 ILMU PERPUSTAKAAN,352
352,Pemerintah Kab. Bangka,GURU BAHASA INGGRIS AHLI PERTAMA,DISABILITAS FISIK,0,1,https://bit.ly/2NR6oe4,SMPN DALAM WILAYAH KABUPATEN BANGKA SESUAI KEPUTUSAN MENPAN DAN RB NOMOR 183 TAHUN 2018,S-1 PENDIDIKAN BAHASA INGGRIS,353
353,Pemerintah Kab. Bangka,PERAWAT TERAMPIL,LULUSAN TERBAIK,0,1,https://bit.ly/2NR6oe4,"RSUD DEPATI BAHRIN SUNGAILIAT, RSUD EKO MAULANA ALI  DAN PUSKESMAS DALAM WILAYAH KABUPATEN BANGKA SESUAI KEPUTUSAN MENPAN DAN RB NOMOR 183 TAHUN 2018",D-III KEPERAWATAN,354
354,Pemerintah Kab. Bangka,PRANATA LABORATORIUM KESEHATAN TERAMPIL,DISABILITAS FISIK,0,1,https://bit.ly/2NR6oe4,RSUD DEPATI BAHRIN SUNGAILIAT DAN PUSKESMAS DALAM WILAYAH KABUPATEN BANGKA SESUAI KEPUTUSAN MENPAN DAN RB NOMOR 183 TAHUN 2018,D-III ANALIS KESEHATAN,355
355,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,ANALIS KEBIJAKAN AHLI PERTAMA,UMUM,0,5,,KELOMPOK KERJA BIDANG PENGKAJIAN DAN PENGEMBANGAN SISTEM KOMISI APARATUR SIPIL NEGARA,S-1 ADMINISTRASI NEGARA/S-1 ADMINISTRASI PEMERINTAHAN UMUM/S-1 ADMINISTRASI PUBLIK/S-1 ILMU ADMINISTRASI NEGARA/S-1 ILMU ADMINISTRASI PUBLIK/S-1 ILMU PEMERINTAHAN/S-1 MANAJEMEN DAN KEBIJAKAN PUBLIK,356
356,Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,ANALIS KEBIJAKAN AHLI PERTAMA,UMUM,0,1,,KELOMPOK KERJA BIDANG PROMOSI DAN ADVOKASI KOMISI APARATUR SIPIL NEGARA,S-1 ADMINISTRASI NEGARA/S-1 ADMINISTRASI PEMERINTAHAN UMUM/S-1 ADMINISTRASI PUBLIK/S-1 ILMU ADMINISTRASI NEGARA/S-1 ILMU ADMINISTRASI PUBLIK/S-1 ILMU PEMERINTAHAN/S-1 MANAJEMEN DAN KEBIJAKAN PUBLIK,357
357,Kementerian Keuangan,PENGELOLA KEUANGAN,UMUM,0,2,https://rekrutmen.kemenkeu.go.id/,DJBC,D-III FISIKA,358
358,Kementerian Keuangan,PENGELOLA LABORATORIUM,UMUM,0,2,https://rekrutmen.kemenkeu.go.id/,DJBC,D-III ANALIS FARMASI/D-III FARMASI,359
359,Kementerian Keuangan,ANALIS HUKUM,UMUM,0,117,https://rekrutmen.kemenkeu.go.id/,Non DJBC,S-1 HUKUM/S-1 ILMU HUKUM,360
360,Kementerian Keuangan,ANALIS KERJA SAMA,LULUSAN TERBAIK,0,1,https://rekrutmen.kemenkeu.go.id/,Non DJBC,S-1 ILMU KOMUNIKASI,361
361,Kementerian Keuangan,ANALIS KEUANGAN,LULUSAN TERBAIK,0,7,https://rekrutmen.kemenkeu.go.id/,Non DJBC1,S-1 EKONOMI STUDI PEMBANGUNAN/S-1 ILMU EKONOMI/S-1 ILMU EKONOMI DAN STUDI PEMBANGUNAN/S-1 ILMU EKONOMI PEMBANGUNAN/S-1 ILMU EKONOMI STUDI PEMBANGUNAN,362
362,Kementerian Pendidikan dan Kebudayaan,ANALIS RENCANA PROGRAM DAN KEGIATAN,UMUM,0,1,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Direktorat Jenderal Pendidikan Anak Usia Dini dan Pendidikan Masyarakat,S-1 ADMINISTRASI PENDIDIKAN/S-1 KURIKULUM DAN TEKNOLOGI PENDIDIKAN/S-1 MANAJEMEN PENDIDIKAN/S-1 PSIKOLOGI/S-1 TEKNOLOGI PENDIDIKAN,363
363,Kementerian Pendidikan dan Kebudayaan,KURATOR KOLEKSI MUSEUM,DISABILITAS FISIK,0,1,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Museum Nasional Indonesia,S-1 ANTROPOLOGI/S-1 ARKEOLOGI/S-1 GEOGRAFI/S-1 ILMU SEJARAH/S-1 SEJARAH,364
364,Kementerian Pendidikan dan Kebudayaan,KONSERVATOR,LULUSAN TERBAIK,0,1,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Balai Pelestarian Cagar Budaya Bali,S-1 ARKEOLOGI/S-1 BIOLOGI/S-1 FISIKA/S-1 KIMIA,365
365,Lembaga Penerbangan dan Antariksa Nasional,PEREKAYASA AHLI PERTAMA,LULUSAN TERBAIK,0,1,http://cpns.lapan.go.id/,Pusat Pemanfaatan Penginderaan Jauh,S-1 ILMU KOMPUTER/S-1 TEKNIK INFORMATIKA,366
366,Arsip Nasional Republik Indonesia ,ARSIPARIS AHLI PERTAMA,UMUM,0,18,http://www.anri.go.id/assets/download/CPNS2018/PENGUMUMAN_PENGADAAN_CPNS_ANRI_TAHUN_2018.pdf,ANRI Jakarta,D-IV KEARSIPAN/S-1 ADMINISTRASI NEGARA/S-1 ADMINISTRASI PUBLIK/S-1 ANTROPOLOGI/S-1 ILMU HUKUM/S-1 ILMU KOMPUTER/S-1 ILMU PEMERINTAHAN/S-1 ILMU POLITIK/S-1 MANAJEMEN INFORMATIKA/S-1 SASTRA BELANDA/S-1 SEJARAH/S-1 SISTEM INFORMASI/S-1 SOSIOLOGI/S-1 TEKNIK KOMPUTER/S-1 TEKNOLOGI INFORMASI,367
367,Pemerintah Kab. Bangka,ANALIS KONSERVASI AIR DAN LINGKUNGAN HIDUP,UMUM,0,1,https://bit.ly/2NR6oe4,DINAS LINGKUNGAN HIDUP,D-IV KESEHATAN LINGKUNGAN/S-1 KESEHATAN LINGKUNGAN/S-1/D-IV TEKNIK LINGKUNGAN,368
368,Pemerintah Kab. Bangka,ANALIS BANGUNAN GEDUNG DAN PERMUKIMAN,UMUM,0,1,https://bit.ly/2NR6oe4,"DINAS PEKERJAAN UMUM, PENATAAN RUANG DAN PERHUBUNGAN",S-1 EKONOMI PEMBANGUNAN/S-1 ILMU TEKNIK SIPIL DAN PERENCANAAN TATA RUANG/S-1 STUDI PEMBANGUNAN,369
369,Kementerian Keuangan,PENGELOLA KEUANGAN,UMUM,0,69,https://rekrutmen.kemenkeu.go.id/,Non DJBC1,D-III EKONOMI/D-III MANAJEMEN,370
370,Kementerian Keuangan,PENGELOLA KEUANGAN,UMUM,0,1,https://rekrutmen.kemenkeu.go.id/,Non DJBC2,D-III STATISTIK/D-III STATISTIKA,371
371,Kementerian Keuangan,PENGELOLA TEKNOLOGI INFORMASI,DISABILITAS FISIK,0,1,https://rekrutmen.kemenkeu.go.id/,Non DJBC,D-III ILMU KOMPUTER/D-III MANAJEMEN INFORMATIKA/D-III SISTEM INFORMASI/D-III TEKNIK INFORMATIKA,372
372,Kementerian Pendidikan dan Kebudayaan,PENGELOLA DATA CAGAR BUDAYA DAN KOLEKSI MUSEUM,UMUM,0,1,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Balai Pelestarian Cagar Budaya Bali,S-1 GEOGRAFI/S-1 ILMU GEOGRAFI/S-1 ILMU SEJARAH/S-1 SEJARAH,373
373,Kementerian Pendidikan dan Kebudayaan,TEKNISI PELESTARI CAGAR BUDAYA,UMUM,0,2,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Balai Pelestarian Cagar Budaya Bali,S-1 ARKEOLOGI/S-1 BIOLOGI/S-1 FISIKA/S-1 KIMIA,374
374,Kementerian Pendidikan dan Kebudayaan,TEKNISI PELESTARI CAGAR BUDAYA,UMUM,0,2,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Balai Pelestarian Cagar Budaya Maluku Utara,S-1 ARKEOLOGI/S-1 BIOLOGI/S-1 FISIKA/S-1 KIMIA,375
375,Pemerintah Kab. Bangka,NUTRISIONIS TERAMPIL,UMUM,0,8,https://bit.ly/2NR6oe4,RSUD DEPATI BAHRIN SUNGAILIAT DAN PUSKESMAS DALAM WILAYAH KABUPATEN BANGKA SESUAI KEPUTUSAN MENPAN DAN RB NOMOR 183 TAHUN 2018,D-III GIZI,376
376,Pemerintah Kab. Bangka,APOTEKER AHLI PERTAMA,UMUM,0,1,https://bit.ly/2NR6oe4,RSUD DEPATI BAHRIN SUNGAILIAT,S-1 APOTEKER (PROFESI),377
377,Pemerintah Kab. Bangka,DOKTER GIGI AHLI PERTAMA,UMUM,0,4,https://bit.ly/2NR6oe4,PUSKESMAS DALAM WILAYAH KABUPATEN BANGKA SESUAI KEPUTUSAN MENPAN DAN RB NOMOR 183 TAHUN 2018,DOKTER GIGI,378
378,Pemerintah Kab. Bangka Selatan,GURU KELAS AHLI PERTAMA,DISABILITAS FISIK,0,1,http://bit.ly/2NQb97H,PEMERINTAH KABUPATEN BANGKA SELATAN,S-1 PENDIDIKAN GURU SEKOLAH DASAR,379
379,Pemerintah Kab. Bangka Selatan,GURU AGAMA ISLAM AHLI PERTAMA,LULUSAN TERBAIK,0,1,http://bit.ly/2NQb97H,PEMERINTAH KABUPATEN BANGKA SELATAN,S-1 PENDIDIKAN AGAMA ISLAM,380
380,Pemerintah Kab. Bangka Selatan,GURU BAHASA INDONESIA AHLI PERTAMA,UMUM,0,4,http://bit.ly/2NQb97H,PEMERINTAH KABUPATEN BANGKA SELATAN,S-1 PENDIDIKAN BAHASA DAN SASTRA INDONESIA,381
381,Pemerintah Kab. Bangka Selatan,GURU MATEMATIKA AHLI PERTAMA,LULUSAN TERBAIK,0,1,http://bit.ly/2NQb97H,PEMERINTAH KABUPATEN BANGKA SELATAN,S-1 PENDIDIKAN MATEMATIKA,382
382,Kementerian Pendidikan dan Kebudayaan,TEKNISI PRODUKSI,UMUM,0,3,https://cpns.kemdikbud.go.id/pengumuman/formasi-seleksi-cpns-kemendikbud-tahun-2018/index.html,Balai Pengembangan Media Televisi Pendidikan dan Kebudayaan,D-IV TEKNIK TELEKOMUNIKASI/D-IV TEKNOLOGI MULTIMEDIA DAN BROADCASTING/S-1 TEKNIK TELEKOMUNIKASI/S-1 TEKNOLOGI MULTIMEDIA DAN BROADCASTING,383
383,Pemerintah Kab. Bengkulu Utara,GURU PENJASORKES AHLI PERTAMA,UMUM,0,1,http://bengkuluutarakab.go.id/2018/09/18/informasi-penerimaan-cpns-daerah-kabupaten-bengkulu-utara-tahun-2018/,SMPN 14 BENGKULU UTARA,S-1 PENDIDIKAN JASMANI DAN KESEHATAN/S-1 PENDIDIKAN JASMANI KESEHATAN DAN REKREASI/S-1 PENDIDIKAN OLAH RAGA DAN KESEHATAN,384
384,Pemerintah Kab. Bengkulu Utara,GURU PENJASORKES AHLI PERTAMA,UMUM,0,1,http://bengkuluutarakab.go.id/2018/09/18/informasi-penerimaan-cpns-daerah-kabupaten-bengkulu-utara-tahun-2018/,SMPN 52 BENGKULU UTARA,S-1 PENDIDIKAN JASMANI DAN KESEHATAN/S-1 PENDIDIKAN JASMANI KESEHATAN DAN REKREASI/S-1 PENDIDIKAN OLAH RAGA DAN KESEHATAN,385
385,Pemerintah Kab. Bengkulu Utara,GURU BIMBINGAN KONSELING AHLI PERTAMA,UMUM,0,1,http://bengkuluutarakab.go.id/2018/09/18/informasi-penerimaan-cpns-daerah-kabupaten-bengkulu-utara-tahun-2018/,SMPN 01 BENGKULU UTARA,S-1 PENDIDIKAN BIMBINGAN KONSELING,386
386,Pemerintah Kab. Tasikmalaya,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,SDN MEKARSARI KEC. SALOPA,S-1 PGSD/S-1 PGSDI,387
387,Pemerintah Kab. Tasikmalaya,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,SDN CIMANGLID KEC. SODONGHILIR,S-1 PGSD/S-1 PGSDI,388
388,Pemerintah Kab. Tasikmalaya,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,SDN CITATAH KEC. SODONGHILIR,S-1 PGSD/S-1 PGSDI,389
389,Pemerintah Kab. Tasikmalaya,GURU KELAS AHLI PERTAMA,UMUM,0,1,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,SDN SACAWANGI KEC. SODONGHILIR,S-1 PGSD/S-1 PGSDI,390
390,Pemerintah Kab. Tasikmalaya,"ANALIS PERENCANAAN, EVALUASI DAN PELAPORAN",UMUM,0,1,https://www.tasikmalayakab.go.id/index.php/en/cari/lain-lain/send/14-lain-lain/168-penetapan-kebutuhan-formasi-cpns-kabupaten-tasikmalaya-2018,BADAN PENGELOLA PENDAPATAN DAERAH,D-IV EKONOMI PEMBANGUNAN/S-1 EKONOMI PEMBANGUNAN,391
391,Pemerintah Kota Tangerang,PENGELOLA PENYAKIT TIDAK MENULAR,UMUM,0,1,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,Puskesmas Larangan,D-III ADMINISTRASI KEBIJAKAN KESEHATAN/D-III KESEHATAN MASYARAKAT,392
392,Pemerintah Kota Tangerang,SANITARIAN AHLI PERTAMA,UMUM,0,2,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,RSUD Kota Tangerang,D-IV KESEHATAN LINGKUNGAN/S-1 KESEHATAN LINGKUNGAN,393
393,Pemerintah Kota Tangerang,BIDAN AHLI PERTAMA,UMUM,0,1,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,Puskesmas Pabuaran Tumpeng,D-IV KEBIDANAN/S-1 KEBIDANAN,394
394,Pemerintah Kota Tangerang,PENYULUH LINGKUNGAN HIDUP,UMUM,0,2,https://bkpsdm.tangerangkota.go.id/apps/read/artikel/164/Berita-BKPSDM/Pengumuman-Penerimaan-CPNS-Kota-Tangerang-Tahun-2018,Dinas Lingkungan Hidup,D-IV KESEHATAN LINGKUNGAN/S-1 KESEHATAN LINGKUNGAN,395
395,Pemerintah Kab. Sintang,TEKNIK TATA BANGUNAN DAN PERUMAHAN AHLI PERTAMA,UMUM,0,1,http://www.sintang.go.id dan http://www.bkdsintang-simpeg.com,SEKSI PERUMAHAN RAKYAT DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,S-1/D-IV TEKNIK SIPIL,396
396,Pemerintah Kab. Ketapang,DOKTER AHLI PERTAMA,UMUM,0,1,http://bkpsdm.ketapangkab.go.id/pengumuman-bupati-ketapang-tentang-kebutuhan-pegawai-aparatur-sipil-negara-di-lingkungan-pemerintah-kabupaten-ketapang-tahun-anggaran-2018/,"PUSKESMAS TUMBANG TITI
",DOKTER UMUM,397
397,Pemerintah Kab. Ketapang,PERAWAT TERAMPIL,UMUM,0,1,http://bkpsdm.ketapangkab.go.id/pengumuman-bupati-ketapang-tentang-kebutuhan-pegawai-aparatur-sipil-negara-di-lingkungan-pemerintah-kabupaten-ketapang-tahun-anggaran-2018/,"PUSKESMAS NANGA TAYAP
",D-III KEPERAWATAN,398
398,Pemerintah Kab. Ketapang,PERAWAT TERAMPIL,UMUM,0,1,http://bkpsdm.ketapangkab.go.id/pengumuman-bupati-ketapang-tentang-kebutuhan-pegawai-aparatur-sipil-negara-di-lingkungan-pemerintah-kabupaten-ketapang-tahun-anggaran-2018/,"PUSKESMAS SUKA MULYA
",D-III KEPERAWATAN,399
399,Pemerintah Kab. Ketapang,BIDAN TERAMPIL,UMUM,0,1,http://bkpsdm.ketapangkab.go.id/pengumuman-bupati-ketapang-tentang-kebutuhan-pegawai-aparatur-sipil-negara-di-lingkungan-pemerintah-kabupaten-ketapang-tahun-anggaran-2018/,"PUSKESMAS KENDAWANGAN
",D-III KEBIDANAN,400
400,Pemerintah Kab. Ketapang,BIDAN TERAMPIL,UMUM,0,1,http://bkpsdm.ketapangkab.go.id/pengumuman-bupati-ketapang-tentang-kebutuhan-pegawai-aparatur-sipil-negara-di-lingkungan-pemerintah-kabupaten-ketapang-tahun-anggaran-2018/,"PUSKESMAS SIMPANG DUA
",D-III KEBIDANAN,401
401,Pemerintah Kab. Ketapang,BIDAN TERAMPIL,UMUM,0,1,http://bkpsdm.ketapangkab.go.id/pengumuman-bupati-ketapang-tentang-kebutuhan-pegawai-aparatur-sipil-negara-di-lingkungan-pemerintah-kabupaten-ketapang-tahun-anggaran-2018/,"PUSKESMAS AIR UPAS
",D-III KEBIDANAN,402
402,Pemerintah Kab. Ketapang,GURU KELAS AHLI PERTAMA,HONORER,0,1,http://bkpsdm.ketapangkab.go.id/pengumuman-bupati-ketapang-tentang-kebutuhan-pegawai-aparatur-sipil-negara-di-lingkungan-pemerintah-kabupaten-ketapang-tahun-anggaran-2018/,SDN 07 SUNGAI MELAYU RAYAK,S-1 PGSD,403
